Trajectories
100
,,D07:Tempe_D,,,D07:Tempe_G,,,D07:AR_Tete_G,,,D07:AR_Tete_D,,,D07:epaule_D,,,D07:epaule_G,,,D07:coude_D,,,D07:poignet_D,,,D07:majeur_D,,,D07:coude_G,,,D07:poignet_G,,,D07:majeur_G,,,D07:entre_homoplate,,,D07:cheville_D,,,D07:cheville_G,,,D07:orteil_D,,,D07:orteil_G,,,D07:2AR_Tete_D,,,D07:2AR_Tete_G,,,D07:2coude_D,,,D07:2poignet_D,,,D07:2coude_G,,,D07:2poignet_G,,,D07:2epaule_D,,,D07:2epaule_G,,,D07:2Tempe_D,,,D07:2Temps_G,,,D07:2entre_homoplate,,,D07:2majeur_D,,,D07:2majeur_G,,,D07:2cheville_D,,,D07:2orteil_D,,,D07:2cheville_G,,,D07:2orteil_G,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-231.98,1114.35,1375.49,-108.687,1157.11,1388.49,-147.835,1279.62,1365.16,-271.777,1252.37,1346.37,-323.643,1117.05,1171.18,-82.4833,1262.53,1201.71,-376.444,1041.33,889.736,-216.46,999.705,725.73,-165.974,1006.31,708.014,42.517,1260.42,880.261,-16.0205,1112.64,710.817,-54.7173,1071.77,677.049,-264.828,1313.05,1099.66,-298.025,1154.48,22.4339,-81.8933,1240.9,18.191,-259.076,1040.13,-42.9904,-27.0556,1145.71,-48.134,488.074,83.7975,1619.41,384.115,-11.6401,1612.8,652.239,198.388,1087.53,523.481,266.037,870.317,206.776,-101.198,1086.15,173.237,17.9445,874.793,570.149,130.513,1439.84,316.628,-87.8917,1438.87,416.24,182.968,1642.47,288.415,97.4517,1629.09,501.067,-47.5471,1328.61,481.741,276.798,829.209,187.234,66.5949,826.903,496.312,146.347,35.2464,431.211,279.276,-30.5716,298.467,-9.59871,48.0007,181.467,88.6231,-31.6727
2,0,-231.902,1114.34,1375.46,-108.626,1157.09,1388.46,-147.804,1279.58,1365.14,-271.79,1252.35,1346.41,-323.613,1116.97,1171.16,-82.5154,1262.57,1201.73,-376.35,1041.2,889.732,-216.376,999.674,725.75,-165.904,1006.29,708.009,42.5032,1260.58,880.304,-15.9477,1112.77,710.824,-54.6736,1071.96,676.976,-264.939,1312.94,1099.58,-297.876,1154.3,22.475,-81.8838,1240.91,18.2051,-259.106,1040.07,-43.0315,-27.0523,1145.71,-48.1236,488.061,83.9223,1619.34,384.038,-11.5979,1612.86,652.095,198.623,1087.52,523.891,266.068,870.083,206.692,-100.915,1086.2,173.248,18.0438,874.698,570.044,130.879,1439.86,316.566,-87.5501,1438.89,416.445,183.096,1642.62,288.275,97.8388,1628.97,501.086,-47.3194,1328.73,482.294,276.877,828.591,187.42,66.6035,826.71,496.366,146.358,35.2645,431.203,279.27,-30.5311,298.463,-9.5502,48.0264,181.485,88.6394,-31.6603
3,0,-231.871,1114.32,1375.5,-108.618,1157.07,1388.4,-147.806,1279.53,1365.09,-271.796,1252.31,1346.42,-323.569,1116.85,1171.13,-82.6052,1262.68,1201.71,-376.238,1041.04,889.708,-216.212,999.629,725.732,-165.746,1006.29,708.001,42.3626,1260.79,880.29,-15.9274,1112.95,710.787,-54.542,1072.05,677.032,-265.028,1312.95,1099.66,-298.029,1154.49,22.4117,-81.8906,1240.9,18.193,-259.068,1040.12,-42.9921,-27.0554,1145.71,-48.1336,488.061,84.0875,1619.3,383.976,-11.3937,1612.82,651.995,198.774,1087.52,524.067,265.894,869.495,206.509,-100.578,1086.3,173.247,18.072,874.609,570.033,131.107,1439.91,316.461,-87.2108,1438.89,416.595,183.343,1642.77,288.653,98.3479,1629.12,501.1,-46.9999,1328.96,482.606,276.194,827.96,187.605,66.5407,826.448,496.348,146.378,35.2578,431.219,279.259,-30.5647,298.462,-9.54916,48.0273,181.48,88.6339,-31.6543
4,0,-231.851,1114.28,1375.48,-108.527,1157.06,1388.33,-147.807,1279.53,1365.09,-271.803,1252.28,1346.46,-323.498,1116.72,1171.12,-82.7021,1262.8,1201.72,-376.106,1040.79,889.68,-216.073,999.573,725.71,-165.627,1006.24,707.979,42.3306,1260.88,880.247,-15.8943,1113.16,710.768,-54.3837,1072.14,677.033,-265.167,1312.88,1099.61,-298.007,1154.48,22.4032,-81.8933,1240.9,18.1909,-259.079,1040.09,-42.98,-27.0461,1145.72,-48.1063,488.078,84.212,1619.24,383.923,-11.0247,1612.73,651.936,198.876,1087.54,524.681,265.993,869.094,206.342,-100.237,1086.44,173.222,18.0922,874.482,569.849,131.469,1439.97,316.259,-86.7744,1438.99,416.697,183.608,1642.89,288.627,98.542,1629.34,500.979,-46.5611,1328.99,482.6,276.106,827.729,187.825,66.3904,826.123,496.384,146.419,35.176,431.233,279.239,-30.4899,298.463,-9.55016,48.0265,181.473,88.6307,-31.6679
5,0,-231.792,1114.18,1375.49,-108.493,1156.97,1388.27,-147.811,1279.49,1365,-271.791,1252.19,1346.47,-323.469,1116.64,1171.08,-82.7688,1262.82,1201.7,-375.946,1040.65,889.632,-215.955,999.506,725.721,-165.413,1006.26,707.94,42.2305,1261.01,880.21,-15.7971,1113.36,710.72,-54.3374,1072.23,676.998,-265.288,1312.83,1099.62,-298.018,1154.51,22.3883,-81.8933,1240.9,18.191,-259.059,1040.09,-43.0197,-27.055,1145.71,-48.1329,488.019,84.369,1619.25,383.846,-10.5306,1612.54,651.87,199.01,1087.56,525.161,265.783,868.648,206.175,-99.9304,1086.57,173.21,18.1355,874.213,569.739,131.716,1440.02,316.074,-86.4011,1439.11,416.714,183.819,1643.03,288.515,98.771,1629.49,500.884,-46.2164,1329.01,483.013,275.954,827.274,188.047,66.2569,825.823,496.383,146.374,35.2188,431.24,279.245,-30.5099,298.473,-9.50805,48.0431,181.477,88.6343,-31.6587
6,0,-231.762,1114.05,1375.46,-108.455,1156.97,1388.18,-147.786,1279.4,1365.01,-271.795,1252.14,1346.47,-323.428,1116.51,1171.04,-82.8545,1262.86,1201.66,-375.806,1040.49,889.625,-215.788,999.433,725.714,-165.345,1006.23,707.916,42.1876,1261.17,880.181,-15.7554,1113.54,710.67,-54.2814,1072.21,677.091,-265.425,1312.85,1099.64,-298.005,1154.5,22.387,-81.884,1240.91,18.2049,-259.045,1040.12,-43.0525,-27.0559,1145.71,-48.1346,487.975,84.6029,1619.21,383.762,-10.3883,1612.5,651.85,199.135,1087.63,525.443,266.914,868.713,206.129,-99.7593,1086.58,173.155,18.0296,874.051,569.579,132.145,1440.02,315.916,-86.0962,1439.28,416.744,183.994,1643.2,288.492,99.0403,1629.65,500.811,-46.0655,1329.02,484.494,278.663,826.914,188.291,66.0518,825.505,496.391,146.381,35.1988,431.236,279.261,-30.5415,298.463,-9.54834,48.0273,181.468,88.6244,-31.6727
7,0,-231.724,1114.01,1375.42,-108.445,1156.91,1388.06,-147.816,1279.34,1364.96,-271.772,1252.09,1346.5,-323.381,1116.4,1171.03,-82.9583,1262.98,1201.64,-375.623,1040.31,889.648,-215.564,999.387,725.722,-165.153,1006.23,707.907,42.1111,1261.28,880.131,-15.6726,1113.74,710.636,-54.1632,1072.24,677.147,-265.568,1312.77,1099.58,-297.984,1154.43,22.413,-81.8906,1240.9,18.193,-259.062,1040.06,-43.0971,-27.0556,1145.71,-48.1341,487.903,84.8496,1619.2,383.676,-10.2376,1612.5,651.885,199.214,1087.71,525.765,265.92,868.436,206.012,-99.5909,1086.62,173.169,17.8574,874.015,569.435,132.641,1440.14,315.686,-85.7154,1439.35,416.789,184.176,1643.32,288.431,99.2912,1629.79,500.756,-45.9328,1329.23,484.085,275.987,826.661,188.348,65.9107,825.273,496.424,146.367,35.2617,431.239,279.267,-30.5405,298.478,-9.51993,48.0791,181.479,88.639,-31.6624
8,0,-231.666,1113.9,1375.4,-108.37,1156.86,1387.96,-147.807,1279.26,1364.94,-271.817,1252.02,1346.56,-323.311,1116.25,1170.97,-83.0365,1263.03,1201.6,-375.474,1040.1,889.616,-215.367,999.308,725.671,-164.96,1006.15,707.928,42.0838,1261.39,880.086,-15.5947,1113.86,710.612,-54.0379,1072.22,677.19,-265.689,1312.77,1099.59,-298.008,1154.5,22.362,-81.884,1240.9,18.2048,-259.087,1040.08,-43.0733,-27.0636,1145.69,-48.1035,487.789,85.0829,1619.22,383.656,-9.99816,1612.4,651.936,199.276,1087.75,525.988,265.744,868.435,205.951,-99.4285,1086.69,173.137,17.6616,873.849,569.268,133.027,1440.22,315.435,-85.2342,1439.41,416.736,184.401,1643.54,288.39,99.5165,1629.86,500.617,-45.6508,1329.47,484.306,275.963,826.544,188.383,65.9391,825.196,496.443,146.424,35.2029,431.23,279.256,-30.5175,298.489,-9.51947,48.0703,181.484,88.6443,-31.6553
9,0,-231.608,1113.81,1375.32,-108.314,1156.78,1387.81,-147.853,1279.19,1364.88,-271.819,1251.9,1346.61,-323.23,1116.14,1170.96,-83.1175,1263.06,1201.57,-375.328,1039.99,889.565,-215.127,999.121,725.751,-164.777,1006.16,707.889,42.068,1261.51,880.088,-15.5532,1113.95,710.605,-53.8962,1072.16,677.261,-265.825,1312.75,1099.62,-297.973,1154.47,22.3941,-81.8931,1240.9,18.1914,-259.058,1040.11,-43.0559,-27.0243,1145.72,-48.1348,487.697,85.3109,1619.2,383.552,-9.77224,1612.37,651.942,199.32,1087.85,526.084,265.924,868.556,205.885,-99.2864,1086.73,173.055,17.8099,873.95,569.065,133.251,1440.38,315.195,-84.8196,1439.49,416.624,184.577,1643.78,288.325,99.8434,1629.99,500.397,-45.3665,1329.72,484.595,275.925,826.428,188.288,65.9464,825.257,496.416,146.366,35.3054,431.226,279.263,-30.5175,298.478,-9.59276,48.0103,181.473,88.631,-31.6693
