Trajectories
100
,,D02:Tempe_D,,,D02:Tempe_G,,,D02:AR_Tete_G,,,D02:AR_Tete_D,,,D02:epaule_D,,,D02:epaule_G,,,D02:coude_D,,,D02:poignet_D,,,D02:majeur_D,,,D02:coude_G,,,D02:poignet_G,,,D02:majeur_G,,,D02:entre_homoplate,,,D02:cheville_D,,,D02:cheville_G,,,D02:orteil_D,,,D02:orteil_G,,,D02:2AR_Tete_D,,,D02:2AR_Tete_G,,,D02:2coude_D,,,D02:2poignet_D,,,D02:2coude_G,,,D02:2poignet_G,,,D02:2epaule_D,,,D02:2epaule_G,,,D02:2Tempe_D,,,D02:2Temps_G,,,D02:2entre_homoplate,,,D02:2majeur_D,,,D02:2majeur_G,,,D02:2cheville_D,,,D02:2orteil_D,,,D02:2cheville_G,,,D02:2orteil_G,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,111.974,1121.38,1478.2,237.31,1135.57,1479.17,211.958,1265.45,1432.41,86.2396,1242.07,1437.26,23.2295,1130.01,1245.78,302,1199.06,1253.12,-192.92,1110.74,1010.03,-49.2195,1079.37,828.328,-5.72176,1082.24,831.119,502.939,1306.97,1042.33,390.545,1210.79,836.882,360.999,1185.61,856.42,117.685,1296.12,1191.07,11.3905,1130.72,55.4736,310.754,1190.96,51.4271,14.5816,1009.43,-9.76686,333.852,1073.1,-11.9022,543.13,-453.645,1640.5,434.03,-402.968,1644.46,927.709,-351.659,1216.43,809.03,-310.845,987.282,176.871,-527.299,1209.22,274.187,-439.77,992.199,669.822,-340.635,1496.82,377.333,-431.964,1496.04,613.474,-345.996,1720.72,497.223,-275.371,1739.6,565.704,-508.488,1430.18,754.432,-308.966,983.31,321.502,-419.89,990.468,667.331,-364.451,53.2533,678.79,-200.614,-19.2956,406.878,-416.743,52.6098,333.241,-269.321,-20.1365
2,0,111.908,1121.34,1478.21,237.259,1135.49,1479.31,211.889,1265.39,1432.51,86.0482,1241.85,1437.27,23.1503,1129.87,1245.77,301.982,1198.84,1253.22,-192.966,1110.6,1009.98,-49.2146,1079.33,828.275,-5.71397,1082.19,831.061,502.961,1306.77,1042.45,390.53,1210.69,836.908,360.966,1185.46,856.405,117.939,1295.42,1190.86,11.3612,1130.77,55.4533,310.758,1190.96,51.3981,14.5849,1009.43,-9.8082,333.924,1073.05,-11.8344,543.207,-453.414,1640.58,434.23,-402.559,1644.5,927.756,-351.336,1216.51,809.216,-310.545,987.382,176.901,-527.032,1209.17,274.26,-439.635,992.196,669.826,-340.505,1496.83,377.362,-431.875,1496.05,613.608,-345.694,1720.57,497.382,-274.843,1739.4,565.802,-508.37,1430.15,754.585,-308.63,983.35,321.605,-419.658,990.46,667.345,-364.299,53.2283,678.778,-200.862,-19.0466,406.826,-416.549,52.6098,333.155,-269.408,-20.041
3,0,111.706,1121.18,1478.19,237.135,1135.35,1479.3,211.78,1265.15,1432.52,85.8548,1241.68,1437.33,23.1102,1129.74,1245.78,301.929,1198.63,1253.36,-192.979,1110.45,1009.95,-49.208,1079.29,828.264,-5.72488,1082.13,831.089,502.969,1306.58,1042.62,390.439,1210.68,836.877,360.746,1185.56,856.275,117.857,1295.36,1190.94,11.3604,1130.77,55.4518,310.782,1190.88,51.4916,14.5908,1009.43,-9.78961,333.871,1073.05,-11.8503,543.243,-453.245,1640.62,434.357,-402.209,1644.49,927.948,-350.98,1216.6,809.399,-310.181,987.441,177,-526.89,1209.08,274.35,-439.459,992.257,669.796,-340.381,1496.87,377.372,-431.729,1496.05,613.729,-345.444,1720.51,497.979,-274.657,1739.55,565.891,-508.272,1430.2,754.703,-308.329,983.389,321.633,-419.448,990.498,667.289,-364.207,53.1481,678.779,-200.865,-19.0424,406.788,-416.342,52.5764,333.106,-269.44,-20.0456
4,0,111.546,1121.1,1478.14,236.948,1135.21,1479.26,211.522,1264.81,1432.41,85.7021,1241.54,1437.32,22.9938,1129.6,1245.79,301.925,1198.36,1253.48,-193.009,1110.32,1009.91,-49.2343,1079.23,828.274,-5.73557,1082.08,831.052,502.702,1306.96,1042.36,390.43,1210.61,836.924,360.724,1185.48,856.35,117.804,1295.28,1191,11.3611,1130.77,55.4532,310.759,1190.88,51.4608,14.593,1009.4,-9.83815,333.852,1073.09,-11.9007,543.198,-453.001,1640.64,434.315,-401.977,1644.59,928.054,-350.69,1216.65,809.57,-309.917,987.504,177.051,-526.743,1209.01,274.404,-439.213,992.371,669.797,-340.211,1496.89,377.379,-431.56,1496.04,613.829,-345.166,1720.45,498.303,-274.37,1739.54,566.016,-508.108,1430.19,754.812,-308.072,983.474,321.796,-419.244,990.5,667.337,-364.152,53.1119,678.778,-200.862,-19.0465,406.799,-416.101,52.5588,333.053,-269.471,-19.98
5,0,111.388,1120.99,1478.12,236.761,1135.02,1479.24,211.379,1264.68,1432.42,85.5847,1241.45,1437.3,22.9538,1129.47,1245.81,301.884,1198.06,1253.61,-193.049,1110.21,1009.85,-49.2236,1079.19,828.226,-5.73453,1082.03,831.065,502.839,1306.15,1042.93,390.395,1210.53,836.955,360.759,1185.38,856.427,117.824,1295.11,1190.99,11.3612,1130.77,55.4534,310.757,1190.89,51.4862,14.5978,1009.39,-9.84014,333.851,1073.1,-11.9049,543.273,-452.82,1640.56,434.563,-401.497,1644.76,928.021,-350.48,1216.65,809.674,-309.627,987.537,176.989,-526.637,1208.96,274.421,-439.079,992.361,669.79,-340.003,1496.92,377.379,-431.386,1496.01,613.987,-344.778,1720.31,498.107,-273.814,1739.2,566.119,-507.959,1430.19,754.943,-307.832,983.531,321.902,-419.014,990.497,667.377,-364.041,53.1129,678.78,-200.579,-19.3565,406.851,-415.858,52.4711,333.069,-269.454,-20.0058
6,0,111.231,1120.82,1478.09,236.625,1134.82,1479.22,211.281,1264.49,1432.45,85.4393,1241.34,1437.25,22.843,1129.34,1245.78,301.788,1197.81,1253.7,-193.089,1110.06,1009.82,-49.2274,1079.19,828.21,-5.78605,1081.96,831.047,502.804,1305.87,1043.05,390.405,1210.42,837.003,360.741,1185.37,856.495,117.812,1295.03,1191.04,11.3889,1130.77,55.4927,310.758,1190.89,51.4883,14.583,1009.42,-9.87094,333.937,1073.07,-11.8422,543.356,-452.603,1640.63,434.614,-401.217,1644.79,927.998,-350.267,1216.66,809.756,-309.422,987.504,177.048,-526.525,1208.86,275.018,-438.631,992.351,669.754,-339.734,1496.9,377.434,-431.234,1495.97,614.193,-344.47,1720.21,498.209,-273.428,1739.1,566.214,-507.774,1430.21,755.013,-307.613,983.581,322.069,-418.789,990.603,667.315,-363.853,53.0171,678.761,-200.551,-19.4431,406.762,-415.715,52.4628,333.131,-269.58,-19.8055
7,0,111.084,1120.68,1478.03,236.393,1134.63,1479.2,211.082,1264.23,1432.41,85.3455,1241.29,1437.21,22.7917,1129.25,1245.76,301.722,1197.55,1253.81,-193.108,1109.92,1009.77,-49.2798,1079.13,828.143,-5.81266,1081.95,831.016,502.779,1305.62,1043.18,390.412,1210.31,837.105,360.763,1185.27,856.537,117.747,1295.03,1191.18,11.3904,1130.77,55.4956,310.783,1190.87,51.4962,14.5825,1009.42,-9.8722,333.928,1073.05,-11.8309,543.344,-452.258,1640.67,434.685,-400.982,1644.82,928.136,-349.71,1216.75,809.841,-309.232,987.509,177.12,-526.37,1208.82,275.445,-438.145,992.08,669.777,-339.503,1496.92,377.434,-431.047,1495.91,614.325,-344.239,1720.16,498.37,-273.078,1739,566.282,-507.644,1430.19,755.118,-307.469,983.611,322.175,-418.573,990.62,667.212,-363.674,52.9877,678.763,-200.414,-19.6919,406.751,-415.607,52.466,333.168,-269.554,-19.8396
8,0,110.92,1120.57,1477.97,236.241,1134.43,1479.18,210.933,1264.13,1432.42,85.2151,1241.16,1437.16,22.7445,1129.07,1245.77,301.689,1197.36,1253.95,-193.143,1109.81,1009.72,-49.2601,1079.09,828.143,-5.83012,1081.93,830.976,502.733,1305.46,1043.28,390.43,1210.27,837.172,360.648,1185.22,856.536,117.699,1294.99,1191.28,11.3898,1130.77,55.4944,310.784,1190.87,51.4972,14.5554,1009.38,-9.85796,333.834,1073.11,-11.9099,543.461,-452.002,1640.76,434.814,-400.496,1644.6,928.207,-349.177,1216.74,809.848,-309.093,987.529,177.164,-526.224,1208.8,275.501,-437.925,992.076,669.805,-339.284,1496.92,377.494,-430.902,1495.85,614.522,-343.93,1720.08,498.618,-272.694,1738.93,566.352,-507.458,1430.29,755.196,-307.262,983.571,322.29,-418.295,990.591,667.252,-363.47,52.9688,678.757,-200.351,-19.8023,406.752,-415.459,52.4262,333.179,-269.552,-19.891
9,0,110.764,1120.38,1477.88,236.044,1134.24,1479.15,210.791,1264,1432.4,85.1118,1241.03,1437.07,22.6301,1128.97,1245.7,301.602,1197.13,1254.05,-193.199,1109.67,1009.68,-49.2586,1079.08,828.103,-5.87422,1081.87,830.967,502.647,1305.27,1043.38,390.395,1210.2,837.258,360.636,1185.15,856.647,118.027,1294.35,1190.83,11.4415,1130.83,55.4258,310.783,1190.87,51.4967,14.58,1009.38,-9.88994,333.944,1073.04,-11.804,543.496,-451.475,1640.81,434.764,-400.388,1644.77,928.191,-348.834,1216.62,809.827,-309.01,987.449,177.245,-526.007,1208.8,275.399,-437.553,992.137,669.878,-339.069,1496.96,377.532,-430.699,1495.81,614.654,-343.445,1719.9,498.166,-272.212,1738.73,566.372,-507.255,1430.37,755.285,-307.081,983.521,322.428,-417.97,990.515,667.208,-363.205,52.9511,678.728,-200.325,-19.9536,406.757,-415.398,52.402,333.188,-269.536,-19.918
