Trajectories
100
,,Patient 3:Tempe_D,,,Patient 3:Tempe_G,,,Patient 3:AR_Tete_G,,,Patient 3:AR_Tete_D,,,Patient 3:epaule_D,,,Patient 3:epaule_G,,,Patient 3:coude_D,,,Patient 3:poignet_D,,,Patient 3:majeur_D,,,Patient 3:coude_G,,,Patient 3:poignet_G,,,Patient 3:majeur_G,,,Patient 3:entre_homoplate,,,Patient 3:cheville_D,,,Patient 3:cheville_G,,,Patient 3:orteil_D,,,Patient 3:orteil_G,,,Patient 3:2AR_Tete_D,,,Patient 3:2AR_Tete_G,,,Patient 3:2coude_D,,,Patient 3:2poignet_D,,,Patient 3:2coude_G,,,Patient 3:2poignet_G,,,Patient 3:2epaule_D,,,Patient 3:2epaule_G,,,Patient 3:2Tempe_D,,,Patient 3:2Temps_G,,,Patient 3:2entre_homoplate,,,Patient 3:2majeur_D,,,Patient 3:2majeur_G,,,Patient 3:2cheville_D,,,Patient 3:2orteil_D,,,Patient 3:2cheville_G,,,Patient 3:2orteil_G,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,264.087,982.631,1384.86,387.439,1013.11,1371.21,355.222,1147.12,1422.62,233.899,1111.23,1433.64,120.328,1123.51,1252.52,403.495,1196.69,1258.05,-8.50286,1119.07,961.46,-38.8916,1088.14,747.234,-32.1796,1055.55,707.595,514.244,1236.31,938.719,501.498,1172.38,738.352,489.775,1134.95,696.119,236.041,1300.09,1221.3,119.356,1173.91,46.9591,320.667,1220.2,45.013,144.343,1040.15,-22.0147,357.753,1093.74,-28.3957,808.425,-267.218,1361.93,686.837,-341.962,1359.07,893.025,-116.148,939.832,763.27,-79.5467,733.145,502.126,-333.973,943.648,530.771,-181.594,750.879,822.285,-187.968,1218.73,599.626,-332.77,1226.09,757.81,-175.405,1434.92,631.747,-235.153,1439.53,772.474,-388.635,1164.57,705.535,-75.6449,709.98,558.992,-136.528,730.913,806.272,-239.787,37.6344,775.435,-117.197,-27.4891,607.559,-303.116,40.3543,558.069,-191.2,-25.3728
2,0,263.554,983.569,1386.31,387.244,1013.84,1372.75,354.633,1148.09,1423.2,233.403,1112.5,1434.1,119.603,1124.13,1252.94,403.515,1196.82,1258.2,-11.7087,1122.69,962.627,-43.1562,1092.77,748.363,-36.5755,1060.46,708.362,515.007,1239.23,939.379,502.728,1179.67,737.736,490.851,1143.49,694.276,236.186,1300.01,1220.86,119.355,1173.8,46.8709,320.637,1220.06,44.9884,144.338,1040.17,-22.0415,357.758,1093.7,-28.3569,807.824,-269.653,1361.68,684.461,-341.371,1359.39,894.46,-117.988,939.685,765.254,-80.0725,733.353,500.96,-331.808,943.839,531.492,-179.376,750.965,822.853,-189.278,1219.08,598.72,-331.608,1226.06,758.945,-172.598,1434.94,632.862,-232.317,1439.53,770.772,-389.375,1164.48,707.544,-75.7872,709.549,560.2,-134.911,731.132,806.295,-239.803,37.638,775.461,-117.212,-27.4634,607.57,-303.059,40.3671,558.09,-191.184,-25.3748
3,0,263.013,984.258,1387.99,386.721,1014.45,1374.33,354.032,1148.56,1423.78,232.82,1113.57,1434.58,118.894,1124.69,1253.36,403.435,1196.88,1258.38,-14.8415,1126.32,963.932,-46.7994,1097.32,749.501,-40.2418,1065.02,709.133,515.559,1241.97,939.923,504.156,1186.94,736.947,492.137,1152.13,692.446,236.202,1300.07,1220.47,119.408,1173.74,46.7899,320.454,1220.01,45.1849,144.333,1040.14,-22.0314,357.738,1093.69,-28.398,807.232,-272.146,1361.26,682.136,-340.527,1359.95,895.829,-120.007,939.688,767.111,-80.6705,733.182,499.971,-329.563,943.908,532.328,-177.623,750.8,823.582,-190.354,1218.91,597.454,-330.273,1226.09,759.917,-169.954,1435.09,633.814,-229.645,1439.66,769.013,-389.959,1164.43,709.712,-75.868,709.571,561.442,-133.08,730.913,806.33,-239.876,37.6307,775.471,-117.214,-27.4509,607.579,-303.046,40.3576,558.197,-191.139,-25.2733
4,0,262.521,985.225,1389.34,386.104,1015.15,1376.19,353.676,1150.1,1424.43,232.184,1114.72,1435.13,118.133,1125.39,1253.91,403.324,1196.88,1258.48,-17.7759,1130.12,964.979,-50.1112,1101.55,750.402,-43.5094,1069.38,710.048,516.271,1244.99,940.638,505.671,1194.43,736.386,493.49,1160.79,690.741,236.197,1300.02,1220.04,119.372,1173.71,46.6589,320.599,1219.64,44.9483,144.346,1040.13,-22.0936,357.739,1093.69,-28.4068,806.858,-274.365,1361.12,679.79,-338.616,1359.55,897.033,-122.135,939.771,769,-81.4104,733.101,499.024,-327.198,944.209,533.016,-175.59,750.666,824.003,-191.677,1218.76,596.249,-328.931,1226.15,760.918,-167.326,1435.29,634.795,-226.99,1439.84,767.323,-390.771,1164.61,711.228,-75.6257,709.877,562.922,-131.559,731.035,806.375,-239.889,37.6842,775.491,-117.225,-27.4384,607.611,-303.026,40.309,558.157,-191.139,-25.402
5,0,261.979,985.995,1391,385.62,1015.6,1377.62,353.079,1151.18,1425.01,231.633,1115.98,1435.76,117.228,1126.2,1254.4,403.186,1196.77,1258.59,-20.8027,1133.69,966.171,-52.8932,1105.7,751.327,-46.2537,1073.49,710.92,516.967,1247.89,941.2,507.277,1201.63,736.04,494.707,1169.39,689.295,236.212,1299.94,1219.65,119.077,1174.26,46.15,320.594,1219.33,44.7472,144.319,1040.11,-22.0994,357.691,1093.64,-28.4048,806.393,-276.513,1360.76,677.457,-337.16,1359.73,898.499,-124.405,939.618,770.683,-82.0733,732.977,497.978,-324.625,943.927,533.647,-173.808,750.93,824.36,-192.823,1219,595.038,-327.358,1226.27,761.929,-164.812,1435.23,635.786,-224.447,1439.75,765.762,-391.161,1164.63,713.31,-75.9104,709.807,563.966,-130.016,730.868,806.391,-239.906,37.7047,775.492,-117.225,-27.4379,607.605,-302.984,40.2932,558.136,-191.17,-25.4181
6,0,261.372,986.841,1392.71,385.098,1016.36,1379.35,352.316,1152.23,1425.61,231.081,1117.24,1436.3,116.31,1126.8,1254.69,403.002,1196.71,1258.68,-23.4228,1137.18,967.385,-55.4943,1109.4,752.123,-48.4964,1077.41,711.658,517.499,1250.79,941.986,508.975,1209.3,735.627,496.515,1178.35,688.086,236.19,1299.83,1219.22,119.01,1174.32,46.0501,320.533,1219.16,44.6999,144.323,1040.1,-22.1189,357.69,1093.68,-28.4824,805.789,-278.564,1360.64,676.123,-339.354,1362.25,899.72,-126.424,939.498,772.396,-82.904,732.77,496.914,-322.388,944.106,534.806,-171.935,750.328,824.897,-194.02,1218.86,594.205,-326.243,1226.21,762.999,-162.368,1435.43,636.836,-221.976,1439.93,763.969,-391.857,1164.87,715.102,-75.6878,709.372,565.322,-128.275,730.937,806.457,-239.946,37.7307,775.492,-117.225,-27.4383,607.568,-302.964,40.3012,558.167,-191.149,-25.4179
7,0,260.612,987.57,1394.21,384.44,1017.39,1380.93,351.79,1153.2,1426.17,230.17,1118.38,1436.92,115.334,1127.63,1255.14,402.756,1196.57,1258.73,-25.9942,1140.63,968.278,-57.7486,1113.07,753.021,-50.0881,1080.99,712.275,517.947,1253.77,942.872,510.72,1217.09,735.458,498.819,1187.35,686.699,236.12,1299.8,1218.8,119.015,1174.27,45.9211,320.43,1219.05,44.6003,144.32,1040.09,-22.151,357.728,1093.63,-28.4289,805.159,-280.8,1360.35,673.727,-336.321,1360.79,901.035,-128.578,939.696,774.287,-83.6263,732.986,496.139,-320.269,944.121,535.789,-170.334,750.463,825.35,-195.32,1218.66,593.075,-324.628,1226.53,764.228,-160.203,1435.5,638.045,-219.782,1439.98,762.34,-392.455,1164.94,717.187,-76.1124,709.243,566.68,-127.194,730.788,806.493,-240.016,37.7587,775.492,-117.225,-27.4384,607.563,-302.945,40.3436,558.281,-191.094,-25.3448
8,0,259.964,988.673,1395.77,383.777,1017.99,1382.83,351.046,1154.39,1426.85,229.501,1119.56,1437.44,114.446,1128.46,1255.61,402.485,1196.46,1258.76,-28.3202,1143.76,969.296,-59.6714,1116.47,753.816,-51.9162,1084.28,713.427,518.42,1256.59,943.521,512.519,1224.64,735.414,501.846,1196.33,685.866,236.095,1299.78,1218.31,119.018,1174.17,45.9219,320.393,1218.8,44.5916,144.304,1040.11,-22.1601,357.722,1093.65,-28.4329,804.626,-282.746,1360.15,671.935,-333.993,1360.2,902.189,-130.651,939.486,776.053,-84.3647,732.793,495.163,-317.667,943.981,536.399,-168.538,750.26,825.44,-196.277,1218.81,592.249,-323.469,1226.49,765.449,-158.138,1435.64,639.246,-217.688,1440.09,760.483,-392.817,1165.03,718.746,-76.1123,709.356,567.993,-125.706,730.941,806.536,-240.06,37.7509,775.54,-117.207,-27.4058,607.67,-302.856,40.2101,558.185,-191.138,-25.4057
9,0,259.214,989.461,1397.48,383.112,1018.6,1384.11,350.312,1155.3,1427.18,228.788,1120.83,1437.91,113.437,1129.39,1256.06,402.187,1196.32,1258.78,-30.4948,1147.07,970.235,-60.8485,1119.62,754.309,-52.8991,1087.46,713.879,518.888,1259.61,944.408,514.428,1232.32,735.609,504.992,1204.92,685.228,236.056,1299.76,1217.85,119.029,1174.11,45.8593,320.379,1218.47,44.183,144.285,1040.11,-22.1635,357.716,1093.63,-28.4491,803.916,-284.631,1359.9,670.136,-333.699,1361.18,903.133,-132.507,939.503,777.86,-84.9196,732.815,494.26,-315.478,944.037,537.55,-166.77,750.325,825.969,-197.733,1218.76,591.287,-322.024,1226.39,766.453,-155.923,1435.69,640.23,-215.446,1440.11,758.719,-393.444,1165.15,720.621,-76.4301,709.367,569.199,-124.254,730.927,806.581,-240.117,37.8165,775.549,-117.252,-27.3866,607.67,-302.814,40.193,558.18,-191.124,-25.3599
