Trajectories
100
,,D07:Tempe_D,,,D07:Tempe_G,,,D07:AR_Tete_G,,,D07:AR_Tete_D,,,D07:epaule_D,,,D07:epaule_G,,,D07:coude_D,,,D07:poignet_D,,,D07:majeur_D,,,D07:coude_G,,,D07:poignet_G,,,D07:majeur_G,,,D07:entre_homoplate,,,D07:cheville_D,,,D07:cheville_G,,,D07:orteil_D,,,D07:orteil_G,,,D07:2AR_Tete_D,,,D07:2AR_Tete_G,,,D07:2coude_D,,,D07:2poignet_D,,,D07:2coude_G,,,D07:2poignet_G,,,D07:2epaule_D,,,D07:2epaule_G,,,D07:2Tempe_D,,,D07:2Temps_G,,,D07:2entre_homoplate,,,D07:2majeur_D,,,D07:2majeur_G,,,D07:2cheville_D,,,D07:2orteil_D,,,D07:2cheville_G,,,D07:2orteil_G,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-232.552,983.44,1258.37,-104.51,1009.82,1258.83,-129.43,1137.85,1255.41,-257.688,1127.52,1252.44,-353.278,1025.46,1085.65,-89.3473,1141.65,1105.94,-494.863,1069.35,837.697,-527.746,1029.58,620.389,-524.39,1000.46,595.728,33.942,1300.65,824.55,98.5618,1092.05,787.944,89.5401,1031.21,758.712,-281.645,1237.96,1051.07,-262.303,750.585,31.5652,27.1682,995.604,55.9894,-234.434,624.379,-42.8779,45.5577,930.091,-50.3125,371.164,-183.065,1478.45,230.72,-194.68,1467.07,544.267,-69.0287,945.606,408.756,72.2027,775.46,56.3738,-248.777,957.087,51.9803,-77.4841,787.519,468.543,-155.524,1299.14,168.16,-294.363,1303.78,374.758,-58.0375,1489.89,221.754,-49.3375,1468.89,362.116,-327.967,1209.92,370.443,106.647,753.474,63.4893,-18.8883,761.204,301.627,345.978,47.8209,263.828,504.14,-22.3339,-8.86224,116.912,61.6388,-49.9985,278.075,-14.8908
2,0,-232.488,983.43,1258.39,-104.455,1009.81,1258.89,-129.4,1137.76,1255.42,-257.678,1127.43,1252.45,-353.268,1025.41,1085.64,-89.3091,1141.6,1105.93,-494.838,1069.34,837.718,-527.73,1029.55,620.389,-524.396,1000.47,595.708,33.9679,1300.66,824.55,98.636,1092.07,787.924,89.5387,1031.26,758.68,-281.545,1237.83,1051.06,-262.273,750.617,31.5056,27.2189,995.62,55.9947,-234.701,624.277,-43.1473,45.5601,930.097,-50.2955,371.361,-183.004,1478.46,230.89,-194.762,1467.14,544.244,-69.0001,945.631,408.8,72.1889,775.506,56.3872,-248.81,957.101,51.9767,-77.5174,787.506,468.549,-155.438,1299.16,168.169,-294.427,1303.78,374.727,-57.988,1489.77,221.694,-49.5052,1468.9,362.192,-327.98,1209.89,370.447,106.641,753.487,63.4831,-18.8824,761.186,301.644,346.011,47.8219,263.847,504.12,-22.3297,-8.8888,116.9,61.6867,-49.9115,278.584,-15.4974
3,0,-232.405,983.387,1258.48,-104.368,1009.79,1258.94,-129.403,1137.75,1255.42,-257.604,1127.38,1252.48,-353.241,1025.34,1085.64,-89.2911,1141.51,1105.97,-494.819,1069.3,837.749,-527.723,1029.56,620.409,-524.368,1000.47,595.746,33.9258,1300.65,824.57,98.6408,1092.1,787.925,89.5772,1031.24,758.651,-281.542,1237.75,1051.05,-262.178,750.647,31.5848,27.104,995.703,55.8759,-234.474,624.34,-42.887,45.5611,930.098,-50.2947,371.507,-182.878,1478.4,231.039,-194.924,1467.3,544.272,-68.9901,945.701,408.788,72.1953,775.49,56.3873,-248.81,957.101,52.0067,-77.5062,787.463,468.53,-155.443,1299.25,168.208,-294.486,1303.75,374.737,-57.9413,1489.65,221.551,-49.7043,1468.91,362.21,-328.046,1209.92,370.478,106.664,753.482,63.4891,-18.8883,761.204,301.646,346.007,47.8269,263.814,504.128,-22.3351,-8.89066,116.918,61.6679,-49.8683,278.362,-15.6348
4,0,-232.362,983.337,1258.55,-104.295,1009.72,1259,-129.368,1137.76,1255.43,-257.584,1127.28,1252.51,-353.222,1025.31,1085.64,-89.242,1141.42,1105.92,-494.793,1069.27,837.729,-527.728,1029.56,620.426,-524.38,1000.49,595.73,33.8803,1300.63,824.585,98.6958,1092.08,787.89,89.5917,1031.23,758.655,-281.502,1237.65,1051.09,-262.223,750.62,31.4781,27.2042,995.66,55.9512,-234.429,624.378,-42.8693,45.5616,930.096,-50.3002,371.776,-182.797,1478.38,231.255,-195.087,1467.44,544.274,-68.9339,945.771,408.799,72.1891,775.505,56.4052,-248.814,957.063,52.0069,-77.5675,787.471,468.543,-155.385,1299.3,168.201,-294.515,1303.74,374.719,-57.8459,1489.51,221.494,-49.9216,1468.87,362.303,-328.076,1209.92,370.472,106.623,753.495,63.4444,-18.9141,761.211,301.529,345.982,47.6377,263.838,504.113,-22.3229,-8.88597,116.918,61.6747,-49.9111,277.85,-15.0084
5,0,-232.275,983.307,1258.6,-104.201,1009.71,1259.07,-129.166,1137.84,1255.46,-257.575,1127.19,1252.52,-353.198,1025.23,1085.61,-89.2064,1141.35,1105.95,-494.785,1069.25,837.751,-527.723,1029.56,620.41,-524.368,1000.47,595.747,33.8713,1300.62,824.624,98.6892,1092.13,787.849,89.6406,1031.25,758.587,-281.483,1237.55,1051.07,-262.254,750.679,31.3779,27.1973,995.612,55.9638,-234.671,624.306,-43.1432,45.5737,930.12,-50.2928,372.03,-182.658,1478.36,231.506,-195.299,1467.59,544.292,-68.8811,945.89,408.786,72.2003,775.485,56.4286,-248.861,957.055,52.034,-77.572,787.466,468.442,-155.291,1299.33,168.212,-294.572,1303.75,374.678,-57.8062,1489.4,221.339,-50.1334,1468.89,362.358,-328.074,1209.87,370.467,106.628,753.482,63.4665,-18.9322,761.245,301.667,346.006,47.8298,263.831,504.111,-22.3357,-8.8531,116.921,61.6398,-49.836,278.299,-15.613
6,0,-232.205,983.264,1258.63,-104.094,1009.64,1259.15,-129.36,1137.75,1255.49,-257.549,1127.11,1252.53,-353.226,1025.17,1085.61,-89.1906,1141.28,1105.94,-494.775,1069.23,837.771,-527.73,1029.55,620.389,-524.396,1000.46,595.715,33.8637,1300.58,824.656,98.7399,1092.1,787.849,89.6358,1031.26,758.563,-281.471,1237.46,1051.12,-262.106,750.71,31.4706,27.2084,995.655,55.9575,-234.661,624.335,-43.1843,45.5743,930.109,-50.2948,372.286,-182.369,1478.32,231.772,-195.544,1467.83,544.243,-68.8008,945.973,408.762,72.1852,775.469,56.4411,-248.863,957.036,52.0552,-77.6076,787.464,468.344,-155.196,1299.43,168.209,-294.654,1303.73,374.664,-57.7503,1489.26,221.351,-50.2425,1468.8,362.405,-328.131,1209.91,370.478,106.664,753.481,63.486,-18.957,761.268,301.677,346.008,47.8639,263.861,504.118,-22.3314,-8.88751,116.915,61.6685,-49.8671,278.356,-15.6375
7,0,-232.167,983.215,1258.7,-103.945,1009.62,1259.25,-129.13,1137.82,1255.52,-257.515,1127.05,1252.57,-353.198,1025.13,1085.59,-89.1438,1141.21,1105.97,-494.76,1069.24,837.77,-527.73,1029.55,620.389,-524.364,1000.45,595.754,33.849,1300.6,824.689,98.7655,1092.12,787.839,89.6889,1031.31,758.542,-281.44,1237.37,1051.11,-262.214,750.671,31.3283,27.2089,995.658,55.9565,-234.669,624.345,-43.1628,45.5687,930.113,-50.2779,372.438,-182.102,1478.3,232.053,-195.7,1468.09,544.24,-68.6941,946.071,408.798,72.1936,775.501,56.4559,-248.894,956.977,52.0575,-77.6215,787.438,468.192,-155.044,1299.47,168.229,-294.765,1303.74,374.635,-57.5268,1489.03,221.298,-50.4871,1468.7,362.489,-328.126,1209.89,370.47,106.69,753.488,63.4744,-18.9831,761.251,301.65,346.013,47.8228,263.869,504.12,-22.3178,-8.88025,116.921,61.6742,-49.9085,277.84,-15.0335
8,0,-232.059,983.158,1258.74,-103.846,1009.64,1259.29,-129.133,1137.78,1255.51,-257.505,1126.97,1252.57,-353.208,1025.09,1085.57,-89.1131,1141.12,1105.95,-494.75,1069.23,837.765,-527.74,1029.56,620.369,-524.396,1000.46,595.718,33.8077,1300.58,824.676,98.7814,1092.11,787.812,89.7315,1031.34,758.464,-281.37,1237.33,1051.12,-262.223,750.673,31.3209,27.2068,995.652,55.9509,-234.42,624.411,-42.8877,45.5478,930.115,-50.283,372.621,-181.845,1478.22,232.404,-195.811,1468.34,544.227,-68.5875,946.21,408.731,72.2623,775.493,56.466,-248.895,956.959,52.0448,-77.6422,787.413,468.01,-154.865,1299.5,168.227,-294.836,1303.7,374.546,-57.1377,1488.69,221.241,-50.6571,1468.72,362.519,-328.15,1209.88,370.431,106.697,753.501,63.4753,-18.9924,761.262,301.625,346.017,47.8118,263.867,504.122,-22.3223,-8.86741,116.935,61.6687,-49.9217,277.819,-15.0026
9,0,-231.987,983.057,1258.83,-103.771,1009.63,1259.38,-129.117,1137.81,1255.54,-257.488,1126.87,1252.61,-353.17,1025.04,1085.58,-89.0962,1141.02,1105.97,-494.744,1069.22,837.789,-527.731,1029.55,620.388,-524.364,1000.43,595.715,33.7585,1300.53,824.675,98.8277,1092.15,787.811,89.7969,1031.29,758.464,-281.327,1237.23,1051.16,-262.198,750.67,31.2687,27.2536,995.66,55.9946,-234.628,624.333,-43.0863,45.5679,930.125,-50.2755,372.894,-181.642,1478.22,232.764,-196.08,1468.69,544.227,-68.4609,946.347,408.744,72.301,775.521,56.5133,-248.978,956.872,52.0634,-77.6904,787.434,467.841,-154.678,1299.61,168.138,-294.929,1303.63,374.576,-56.6973,1488.26,221.254,-50.9,1468.66,362.525,-328.181,1209.9,370.418,106.763,753.49,63.4799,-18.9892,761.268,301.658,346.021,47.8026,263.861,504.118,-22.3311,-8.86526,116.937,61.6622,-49.9471,277.839,-14.9901
