Trajectories
100
,,D11:Tempe_D,,,D11:Tempe_G,,,D11:AR_Tete_G,,,D11:AR_Tete_D,,,D11:epaule_D,,,D11:epaule_G,,,D11:coude_D,,,D11:poignet_D,,,D11:majeur_D,,,D11:coude_G,,,D11:poignet_G,,,D11:majeur_G,,,D11:entre_homoplate,,,D11:cheville_D,,,D11:cheville_G,,,D11:orteil_D,,,D11:orteil_G,,,D11:2AR_Tete_D,,,D11:2AR_Tete_G,,,D11:2coude_D,,,D11:2poignet_D,,,D11:2coude_G,,,D11:2poignet_G,,,D11:2epaule_D,,,D11:2epaule_G,,,D11:2Tempe_D,,,D11:2Temps_G,,,D11:2entre_homoplate,,,D11:2majeur_D,,,D11:2majeur_G,,,D11:2cheville_D,,,D11:2orteil_D,,,D11:2cheville_G,,,D11:2orteil_G,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,264.192,925.658,1500.44,392.224,947.252,1487.48,366.476,1038.22,1392.23,244.408,1015.84,1407.44,168.855,941.664,1275.11,452.036,946.336,1280.85,78.6855,876.701,962.961,188.849,768.346,784.774,233.192,739.372,760.434,554.834,887.586,971.062,451.627,768.95,787.75,410.834,745.089,763.236,310.282,1073.33,1167.22,173.463,910.653,-10.6124,453.867,892.381,-12.6263,142.207,802.95,-51.4215,468.398,789.055,-52.9171,668.968,-413.288,1611.14,546.518,-424.514,1606.41,803.109,-225.317,1066.04,647.342,-120.32,869.611,365.046,-259.956,1098.62,566.011,-127.139,970.551,768.966,-340.997,1410.25,458.57,-368.971,1440.26,655.956,-278.332,1698.99,521.141,-304.034,1681.6,615.983,-472.088,1332.19,597.818,-105.184,829.841,642.007,-122.84,954.256,722.49,-322.787,63.8066,719.509,-169.79,-29.1639,482.177,-326.674,65.6321,480.264,-175.405,-25.0941
2,0,264.243,925.784,1500.46,392.279,947.406,1487.43,366.41,1038.5,1392.21,244.397,1016,1407.5,168.863,941.842,1275.21,451.993,946.337,1280.95,78.7104,876.728,963.125,188.816,768.454,784.834,233.145,739.525,760.382,554.76,887.288,971.262,451.25,768.419,788.217,410.608,744.647,763.736,310.301,1073.4,1167.2,173.398,910.609,-10.5328,453.878,892.409,-12.6553,142.208,802.951,-51.4227,468.382,789.086,-52.9396,668.909,-412.868,1611.09,546.4,-424.479,1606.09,804.248,-227.049,1064.43,647.152,-121.184,869.057,364.961,-260.212,1098.24,566.045,-127.66,969.944,769.164,-340.984,1409.39,458.47,-369.054,1439.93,655.22,-277.971,1699,520.653,-304.006,1681.33,615.949,-471.895,1331.95,597.69,-105.949,829.66,641.675,-123.555,953.717,722.469,-322.762,63.7532,719.485,-169.769,-29.1661,482.206,-326.746,65.6092,480.265,-175.421,-25.0993
3,0,264.281,925.939,1500.41,392.292,947.606,1487.41,366.433,1038.65,1392.17,244.394,1016.11,1407.48,168.828,941.923,1275.32,451.954,946.441,1281.1,78.7614,876.787,963.194,188.725,768.565,784.809,233.065,739.592,760.313,554.701,887.053,971.47,450.989,768.044,788.612,410.472,744.418,764.063,310.379,1073.44,1167.14,173.4,910.583,-10.5275,453.875,892.417,-12.6581,142.198,802.962,-51.3963,468.366,789.054,-52.9359,668.863,-412.435,1611.24,546.423,-424.453,1605.92,805.135,-228.491,1063.04,647.401,-122.246,868.487,364.956,-260.455,1097.83,566.086,-128.106,969.417,769.349,-340.881,1408.76,458.39,-369.107,1439.73,654.366,-277.369,1699.13,520.141,-303.993,1681.16,615.836,-471.697,1331.87,597.635,-106.644,829.461,641.965,-124.312,952.847,722.486,-322.793,63.7133,719.508,-169.769,-29.2111,482.213,-326.769,65.6103,480.265,-175.408,-25.0831
4,0,264.305,926.07,1500.38,392.254,947.791,1487.38,366.393,1038.87,1392.13,244.377,1016.23,1407.42,168.827,942.034,1275.41,451.957,946.476,1281.18,78.8315,876.865,963.234,188.598,768.729,784.625,232.844,739.731,760.16,554.656,886.799,971.603,450.808,767.67,788.954,410.253,744.047,764.476,310.416,1073.52,1167.12,173.392,910.585,-10.5016,453.902,892.445,-12.6576,142.207,802.951,-51.4218,468.395,789.053,-52.9253,668.818,-412.099,1611.49,546.431,-424.427,1605.88,806.008,-229.328,1062.48,647.861,-123.146,868.086,365.019,-260.673,1097.53,566.239,-128.405,969.018,769.448,-340.859,1408.44,458.334,-369.111,1439.61,653.708,-277.008,1699.45,519.679,-303.996,1681.06,615.838,-471.475,1331.82,597.843,-107.256,829.283,642.691,-124.761,952.155,722.486,-322.792,63.7097,719.503,-169.794,-29.2076,482.231,-326.846,65.6165,480.278,-175.434,-25.0778
5,0,264.26,926.252,1500.34,392.243,947.897,1487.38,366.402,1039.02,1392.1,244.343,1016.37,1407.36,168.825,942.144,1275.44,451.985,946.516,1281.29,78.8712,876.928,963.325,188.378,768.976,784.469,232.658,739.793,760.004,554.611,886.616,971.76,450.673,767.401,789.237,410.024,743.727,764.921,310.466,1073.52,1167.03,173.369,910.591,-10.4683,453.906,892.439,-12.6553,142.198,802.962,-51.3967,468.396,789.054,-52.925,668.657,-411.733,1611.95,546.383,-424.458,1606.06,806.919,-229.808,1062.22,648.209,-123.661,867.948,365.156,-260.74,1097.34,566.602,-128.622,968.711,769.466,-341.002,1408.46,458.326,-369.179,1439.54,653.303,-276.824,1699.61,519.288,-304.08,1680.97,615.973,-471.191,1331.84,598.339,-108.205,829.089,642.772,-124.967,952.12,722.531,-322.735,63.7003,719.485,-169.768,-29.1682,482.265,-326.896,65.6439,480.257,-175.419,-25.0774
6,0,264.191,926.451,1500.27,392.177,947.976,1487.37,366.453,1039.16,1392.08,244.376,1016.55,1407.32,168.826,942.241,1275.46,451.987,946.556,1281.4,78.9282,877.059,963.36,188.217,769.152,784.275,232.314,739.887,759.789,554.649,886.415,971.862,450.537,767.144,789.478,409.832,743.474,765.282,310.554,1073.55,1167,173.369,910.591,-10.4675,453.892,892.47,-12.6682,142.204,802.936,-51.3627,468.395,789.054,-52.9253,668.625,-411.377,1612.42,546.35,-424.307,1606.33,807.503,-230.138,1062.66,648.612,-124.21,867.928,365.372,-260.809,1097.35,567,-128.715,968.688,769.48,-341.177,1408.7,458.326,-369.232,1439.54,652.97,-276.541,1699.64,518.803,-304.038,1680.96,616.222,-470.982,1331.95,598.907,-109.082,828.985,643.012,-125.163,952.272,722.531,-322.734,63.7007,719.493,-169.758,-29.1889,482.286,-326.961,65.7052,480.233,-175.429,-25.0706
7,0,264.057,926.653,1500.23,392.129,948.076,1487.41,366.522,1039.24,1392.04,244.407,1016.72,1407.18,168.857,942.358,1275.49,451.957,946.586,1281.44,78.9362,877.169,963.337,187.955,769.405,784.063,232.013,739.904,759.599,554.677,886.168,972.004,450.421,766.89,789.714,409.722,743.264,765.592,310.615,1073.55,1166.94,173.345,910.57,-10.4613,453.889,892.478,-12.6712,142.229,802.958,-51.3495,468.395,789.054,-52.9253,668.588,-411.239,1612.79,546.135,-424.536,1606.82,807.791,-230.448,1063.4,649.075,-124.639,868.205,365.563,-260.643,1097.51,567.39,-128.661,968.962,769.523,-341.461,1409.27,458.375,-369.359,1439.55,652.424,-276.035,1699.7,518.346,-303.941,1681.07,616.579,-470.772,1332.08,599.307,-109.545,828.955,643.38,-125.184,952.569,722.516,-322.709,63.7475,719.491,-169.775,-29.2081,482.299,-326.952,65.7093,480.223,-175.444,-25.0523
8,0,263.937,926.882,1500.12,392.05,948.135,1487.53,366.593,1039.29,1392.04,244.454,1016.93,1407.06,168.817,942.487,1275.48,452,946.562,1281.51,78.9864,877.34,963.268,187.686,769.63,783.883,231.606,739.953,759.368,554.723,885.95,972.094,450.36,766.713,789.896,409.629,743.065,765.786,310.706,1073.57,1166.85,173.369,910.595,-10.4477,453.889,892.478,-12.671,142.206,802.94,-51.3435,468.395,789.054,-52.9253,668.448,-411.119,1613.22,545.955,-424.604,1607.3,807.728,-230.149,1064.14,649.486,-124.806,868.726,365.778,-260.505,1097.75,567.758,-128.498,969.492,769.603,-341.661,1410.13,458.366,-369.506,1439.62,651.168,-275.231,1699.44,517.995,-303.863,1681.17,617.011,-470.42,1332.27,599.677,-110.042,829.096,643.953,-125.166,952.895,722.508,-322.709,63.7434,719.48,-169.74,-29.2015,482.3,-326.987,65.7506,480.206,-175.45,-25.0229
9,0,263.816,927.1,1500.08,391.928,948.227,1487.62,366.686,1039.22,1392,244.566,1017.14,1406.89,168.778,942.64,1275.45,451.966,946.619,1281.53,79.0115,877.591,963.189,187.543,769.815,783.648,231.247,740.033,759.157,554.755,885.806,972.153,450.362,766.492,790.042,409.526,742.823,765.972,310.767,1073.57,1166.79,173.345,910.57,-10.4609,453.892,892.471,-12.6687,142.182,802.941,-51.331,468.366,789.053,-52.9349,668.135,-411.024,1613.92,545.907,-424.618,1607.62,807.859,-229.737,1065.17,650.127,-124.793,869.285,365.994,-260.279,1097.98,568.149,-128.163,970.164,769.671,-341.964,1411.02,458.272,-369.795,1439.68,651.067,-274.972,1699.66,517.557,-303.802,1681.2,617.245,-469.907,1332.26,600.24,-110.67,829.35,644.717,-124.717,953.551,722.543,-322.658,63.7528,719.484,-169.766,-29.1698,482.3,-326.988,65.7526,480.226,-175.461,-25.0404
