Trajectories
100
,,D11:Tempe_D,,,D11:Tempe_G,,,D11:AR_Tete_G,,,D11:AR_Tete_D,,,D11:epaule_D,,,D11:epaule_G,,,D11:coude_D,,,D11:poignet_D,,,D11:majeur_D,,,D11:coude_G,,,D11:poignet_G,,,D11:majeur_G,,,D11:entre_homoplate,,,D11:cheville_D,,,D11:cheville_G,,,D11:orteil_D,,,D11:orteil_G,,,D11:2AR_Tete_D,,,D11:2AR_Tete_G,,,D11:2coude_D,,,D11:2poignet_D,,,D11:2coude_G,,,D11:2poignet_G,,,D11:2epaule_D,,,D11:2epaule_G,,,D11:2Tempe_D,,,D11:2Temps_G,,,D11:2entre_homoplate,,,D11:2majeur_D,,,D11:2majeur_G,,,D11:2cheville_D,,,D11:2orteil_D,,,D11:2cheville_G,,,D11:2orteil_G,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,429.023,840.035,1366.04,561.963,828.689,1359.44,565.064,943.605,1285.99,441.609,952.981,1299.05,366.229,893.852,1134.58,608.076,881.711,1126.82,270.608,842.884,826.96,317.681,671.121,679.875,347.392,627.462,654.402,709.356,839.384,820.644,633.542,669.781,674.919,600.074,631.208,658.71,490.295,1029.58,1065.32,277.679,591.834,-9.43937,682.193,589.21,-13.9112,261.164,485.287,-51.0102,675.726,486.843,-54.8529,609.151,-454.32,1440.77,486.521,-448.834,1439.41,805.22,-344.315,901.035,677.893,-180.161,737.38,325.301,-402.94,898.792,391.452,-209.379,728.661,723.377,-424.47,1252.08,410.433,-459.842,1264.5,616.202,-301.504,1500.03,478.916,-314.814,1492.21,582.01,-582.638,1191.57,632.257,-136.101,716.648,433.346,-152.282,698.882,681.177,6.22381,72.6959,656.89,165.488,-18.8417,403.204,-9.6806,76.3481,389.488,148.122,-15.9889
2,0,428.97,840.09,1366.03,561.912,828.711,1359.48,565.024,943.621,1286,441.631,953.068,1299.05,366.22,893.879,1134.58,608.067,881.72,1126.82,270.639,842.924,826.94,317.681,671.121,679.875,347.392,627.462,654.402,709.331,839.354,820.627,633.548,669.795,674.929,600.098,631.24,658.705,490.301,1029.6,1065.29,277.679,591.834,-9.43937,682.218,589.163,-13.923,261.164,485.287,-51.0102,675.717,486.857,-54.8801,609.151,-454.32,1440.77,486.527,-448.858,1439.42,805.22,-344.315,901.035,677.884,-180.146,737.435,325.323,-402.869,898.782,391.439,-209.387,728.606,723.377,-424.47,1252.08,410.426,-459.847,1264.5,616.202,-301.504,1500.03,478.922,-314.819,1492.2,581.991,-582.667,1191.58,632.221,-136.099,716.578,433.346,-152.282,698.882,681.162,6.256,72.6566,656.88,165.513,-18.8525,403.208,-9.67842,76.3551,389.523,148.189,-15.9558
3,0,428.937,840.147,1366.03,561.863,828.781,1359.48,564.97,943.633,1285.98,441.582,953.087,1299.05,366.189,893.954,1134.56,608.067,881.713,1126.82,270.67,842.981,826.888,317.659,671.117,679.91,347.383,627.482,654.394,709.349,839.402,820.672,633.517,669.808,674.917,600.113,631.245,658.737,490.344,1029.62,1065.28,277.672,591.808,-9.4282,682.216,589.168,-13.9262,261.179,485.287,-50.9868,675.725,486.835,-54.8733,609.162,-454.325,1440.75,486.509,-448.922,1439.49,805.231,-344.326,901.054,677.876,-180.138,737.418,325.311,-402.895,898.778,391.401,-209.453,728.615,723.37,-424.512,1252.09,410.392,-459.846,1264.46,616.168,-301.476,1500.01,478.906,-314.863,1492.22,581.98,-582.699,1191.57,632.222,-136.101,716.581,433.29,-152.246,698.868,681.178,6.24085,72.6445,656.88,165.513,-18.8529,403.204,-9.68053,76.3483,389.51,148.137,-15.987
4,0,428.883,840.208,1366.06,561.847,828.81,1359.51,564.95,943.675,1285.98,441.56,953.117,1299.02,366.187,893.972,1134.55,608.121,881.152,1127.14,270.695,843.054,826.886,317.67,671.175,679.893,347.401,627.547,654.377,709.348,839.423,820.65,633.544,669.813,674.931,600.106,631.266,658.7,490.305,1029.68,1065.31,277.679,591.833,-9.43818,682.163,589.222,-13.9008,261.174,485.312,-51.0194,675.739,486.863,-54.8334,609.161,-454.314,1440.73,486.537,-448.873,1439.39,805.201,-344.309,901.025,677.832,-180.117,737.44,325.348,-402.874,898.755,391.433,-209.414,728.596,723.344,-424.516,1252.06,410.378,-459.858,1264.46,616.181,-301.551,1500.03,478.937,-314.856,1492.26,581.98,-582.701,1191.57,632.144,-136.098,716.527,433.333,-152.224,698.862,681.187,6.30756,72.6496,656.88,165.513,-18.8525,403.221,-9.69339,76.3476,389.561,148.204,-15.9083
5,0,428.868,840.236,1366.03,561.802,828.876,1359.53,564.924,943.651,1286.03,441.557,953.169,1299.01,366.18,894.01,1134.55,608.103,881.167,1127.14,270.702,843.089,826.847,317.7,671.221,679.872,347.402,627.548,654.377,709.331,839.443,820.667,633.548,669.8,674.941,600.104,631.234,658.761,490.319,1029.67,1065.27,277.679,591.834,-9.4396,682.214,589.169,-13.8918,261.159,485.313,-51.0444,675.739,486.858,-54.8508,609.148,-454.372,1440.71,486.526,-448.921,1439.41,805.133,-344.346,900.989,677.819,-180.103,737.49,325.359,-402.894,898.731,391.411,-209.401,728.564,723.337,-424.533,1252.06,410.368,-459.884,1264.47,616.178,-301.549,1500.03,478.93,-314.857,1492.28,581.978,-582.698,1191.59,632.084,-136.078,716.462,433.291,-152.245,698.867,681.154,6.26841,72.629,656.88,165.513,-18.8525,403.232,-9.68192,76.3744,389.585,148.2,-15.9082
6,0,428.835,840.271,1366.03,561.772,828.918,1359.57,564.9,943.691,1286.03,441.51,953.194,1298.99,366.144,894.036,1134.55,608.094,881.163,1127.17,270.712,843.115,826.822,317.658,671.23,679.895,347.399,627.557,654.399,709.331,839.443,820.667,633.514,669.818,674.919,600.087,631.269,658.727,490.32,1029.67,1065.27,277.679,591.834,-9.4394,682.145,589.219,-13.928,261.179,485.288,-50.9878,675.688,486.832,-54.8653,609.159,-454.383,1440.69,486.516,-448.981,1439.48,805.134,-344.362,901.004,677.783,-180.086,737.524,325.354,-402.884,898.677,391.338,-209.399,728.589,723.337,-424.533,1252.06,410.368,-459.884,1264.47,616.188,-301.561,1500.05,478.945,-314.915,1492.31,581.93,-582.696,1191.58,631.98,-136.089,716.388,433.301,-152.197,698.868,681.155,6.26854,72.6283,656.88,165.513,-18.8525,403.215,-9.70741,76.3452,389.588,148.169,-15.9087
7,0,428.78,840.31,1366.02,561.745,828.921,1359.56,564.869,943.696,1286.01,441.463,953.183,1298.97,366.158,894.052,1134.52,608.074,881.208,1127.16,270.7,843.172,826.805,317.656,671.229,679.897,347.39,627.578,654.391,709.322,839.438,820.695,633.516,669.81,674.923,600.085,631.296,658.764,490.306,1029.72,1065.29,277.68,591.835,-9.43917,682.21,589.175,-13.8966,261.179,485.286,-50.9855,675.717,486.862,-54.8616,609.159,-454.38,1440.66,486.51,-448.99,1439.48,805.137,-344.381,900.998,677.703,-180.051,737.611,325.352,-402.935,898.743,391.332,-209.396,728.597,723.325,-424.514,1252.05,410.364,-459.873,1264.48,616.183,-301.557,1500.04,478.931,-314.928,1492.34,581.948,-582.691,1191.58,631.892,-136.069,716.279,433.29,-152.148,698.876,681.145,6.27234,72.6352,656.875,165.506,-18.8835,403.218,-9.70578,76.3508,389.595,148.158,-15.9256
8,0,428.726,840.366,1366.01,561.716,828.953,1359.6,564.844,943.737,1286.01,441.486,953.236,1299,366.156,894.052,1134.52,608.015,881.744,1126.86,270.717,843.159,826.795,317.7,671.221,679.872,347.39,627.578,654.391,709.322,839.438,820.695,633.509,669.833,674.915,600.077,631.318,658.761,490.339,1029.77,1065.29,277.682,591.837,-9.42278,682.191,589.169,-13.917,261.2,485.317,-50.9778,675.739,486.858,-54.852,609.186,-454.398,1440.66,486.532,-448.913,1439.4,805.13,-344.368,900.992,677.697,-179.988,737.645,325.352,-402.942,898.758,391.406,-209.357,728.62,723.325,-424.514,1252.05,410.364,-459.873,1264.48,616.143,-301.592,1500.09,478.96,-314.972,1492.37,581.937,-582.688,1191.61,631.756,-136.056,716.178,433.274,-152.127,698.959,681.181,6.3058,72.6454,656.84,165.513,-18.8969,403.256,-9.66956,76.3185,389.615,148.166,-15.9034
9,0,428.664,840.418,1366.01,561.651,828.931,1359.57,564.844,943.754,1286.04,441.443,953.234,1298.96,366.133,894.09,1134.48,608.012,881.773,1126.84,270.74,843.207,826.787,317.647,671.275,679.877,347.39,627.578,654.391,709.322,839.438,820.695,633.512,669.833,674.926,600.018,631.298,658.736,490.34,1029.77,1065.29,277.702,591.797,-9.38852,682.192,589.174,-13.9254,261.174,485.313,-51.0199,675.747,486.835,-54.8442,609.189,-454.394,1440.66,486.534,-448.908,1439.4,805.083,-344.395,900.952,677.603,-179.926,737.68,325.569,-402.865,898.543,391.416,-209.304,728.685,723.325,-424.514,1252.05,410.355,-459.879,1264.52,616.139,-301.595,1500.11,478.944,-315.01,1492.38,581.961,-582.694,1191.61,631.651,-136.063,716.038,433.264,-152.091,699.004,681.047,6.30251,72.5968,656.862,165.551,-18.943,403.242,-9.6782,76.3674,389.616,148.168,-15.9041
