Trajectories
100
,,D09:Tempe_D,,,D09:Tempe_G,,,D09:AR_Tete_G,,,D09:AR_Tete_D,,,D09:epaule_D,,,D09:epaule_G,,,D09:coude_D,,,D09:poignet_D,,,D09:majeur_D,,,D09:coude_G,,,D09:poignet_G,,,D09:majeur_G,,,D09:entre_homoplate,,,D09:cheville_D,,,D09:cheville_G,,,D09:orteil_D,,,D09:orteil_G,,,D09:2AR_Tete_D,,,D09:2AR_Tete_G,,,D09:2coude_D,,,D09:2poignet_D,,,D09:2coude_G,,,D09:2poignet_G,,,D09:2epaule_D,,,D09:2epaule_G,,,D09:2Tempe_D,,,D09:2Temps_G,,,D09:2entre_homoplate,,,D09:2majeur_D,,,D09:2majeur_G,,,D09:2cheville_D,,,D09:2orteil_D,,,D09:2cheville_G,,,D09:2orteil_G,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,211.362,1140.89,1052.66,346.413,1160.8,1050.77,333.771,1309.93,1024.54,216.409,1312.02,1033.68,125.811,1217.26,879.986,403.907,1266.89,872.571,22.0424,1179.51,566.789,172.482,989.585,540.322,200.146,961.576,559.097,503.032,1270.01,539.675,434.245,1048.2,506.197,423.973,1002.83,508.211,243.622,1356.83,807.541,497.627,632.588,198.287,321.944,668.865,47.508,593.331,509.352,87.585,350.676,528.146,-35.51,771.537,-476.453,1045.48,645.25,-500.73,1050.7,942.144,-308.538,580.175,767.561,-178.059,534.121,435.79,-457.856,576.148,522.449,-249.536,526.622,847.829,-409.986,896.705,551.183,-494.757,886.869,744.691,-346.498,1081.92,618.823,-366.277,1092.46,727.168,-564.369,798.627,718.543,-155.839,534.064,555.1,-204.121,531.271,700.552,131.086,70.6432,648.966,256.126,-21.1261,387.59,51.2548,84.9912,370.998,188.616,-17.274
2,0,211.457,1140.9,1052.63,346.483,1160.84,1050.77,333.833,1309.9,1024.56,216.463,1311.98,1033.66,125.863,1217.28,880.007,403.952,1266.88,872.502,22.1574,1179.54,566.805,172.536,989.559,540.306,200.253,961.573,559.115,503.066,1270.05,539.642,434.268,1048.2,506.171,423.998,1002.82,508.196,243.722,1356.82,807.51,497.635,632.565,198.212,321.944,668.865,47.508,593.329,509.288,87.574,350.676,528.146,-35.51,771.552,-476.435,1045.44,645.234,-500.71,1050.73,942.144,-308.538,580.175,767.578,-178.074,534.148,435.796,-457.851,576.17,522.458,-249.527,526.603,847.827,-409.988,896.705,551.194,-494.748,886.883,744.677,-346.517,1081.91,618.809,-366.28,1092.43,727.204,-564.373,798.648,718.5,-155.835,534.043,555.1,-204.11,531.27,700.671,131.054,70.7477,648.986,256.109,-21.1229,387.581,51.2881,84.9965,371.007,188.621,-17.269
3,0,211.538,1140.89,1052.64,346.602,1160.85,1050.85,333.852,1309.97,1024.55,216.495,1312,1033.66,125.923,1217.27,880.044,404.048,1266.88,872.552,22.2548,1179.55,566.842,172.603,989.564,540.349,200.309,961.567,559.086,503.097,1270.04,539.636,434.297,1048.19,506.159,424.073,1002.82,508.21,243.761,1356.81,807.51,497.644,632.54,198.22,321.953,668.846,47.5125,593.33,509.261,87.5791,350.676,528.146,-35.51,771.524,-476.418,1045.46,645.238,-500.663,1050.7,942.13,-308.535,580.153,767.585,-178.079,534.164,435.766,-457.83,576.169,522.46,-249.517,526.58,847.823,-409.99,896.709,551.183,-494.725,886.913,744.691,-346.481,1081.88,618.818,-366.266,1092.43,727.204,-564.374,798.649,718.514,-155.844,534.027,555.136,-204.112,531.229,700.656,131.083,70.7663,648.974,256.102,-21.098,387.577,51.3001,84.9685,371,188.622,-17.2811
4,0,211.618,1140.87,1052.66,346.649,1160.86,1050.83,333.887,1309.97,1024.6,216.533,1312.03,1033.67,125.95,1217.25,880.066,404.093,1266.87,872.517,22.3353,1179.59,566.832,172.683,989.616,540.351,200.461,961.607,559.099,503.111,1270,539.635,434.324,1048.21,506.147,424.111,1002.84,508.169,243.837,1356.85,807.568,497.693,632.554,198.191,321.968,668.842,47.5424,593.341,509.229,87.573,350.676,528.146,-35.51,771.527,-476.359,1045.46,645.237,-500.652,1050.72,942.131,-308.521,580.141,767.606,-178.057,534.142,435.779,-457.855,576.148,522.449,-249.535,526.621,847.825,-409.987,896.709,551.185,-494.752,886.866,744.677,-346.419,1081.89,618.809,-366.204,1092.4,727.204,-564.374,798.648,718.536,-155.823,534.054,555.101,-204.111,531.272,700.705,131.038,70.6856,648.987,256.108,-21.1197,387.595,51.2635,84.9991,370.999,188.624,-17.2982
5,0,211.7,1140.89,1052.65,346.718,1160.9,1050.82,333.899,1309.98,1024.51,216.59,1312,1033.68,126.018,1217.24,880.1,404.137,1266.82,872.491,22.3738,1179.58,566.926,172.699,989.554,540.391,200.561,961.65,559.117,503.156,1270.06,539.606,434.324,1048.2,506.104,424.127,1002.85,508.171,243.894,1356.81,807.551,497.689,632.535,198.15,321.991,668.844,47.5345,593.365,509.186,87.6042,350.662,528.144,-35.5321,771.529,-476.357,1045.48,645.23,-500.593,1050.72,942.13,-308.535,580.152,767.578,-178.074,534.148,435.793,-457.846,576.163,522.457,-249.527,526.605,847.828,-409.985,896.71,551.18,-494.767,886.884,744.664,-346.416,1081.87,618.789,-366.222,1092.4,727.167,-564.369,798.627,718.567,-155.857,534.068,555.122,-204.119,531.24,700.619,131.059,70.5872,648.974,256.101,-21.097,387.581,51.2872,84.9968,371.001,188.622,-17.2796
6,0,211.822,1140.9,1052.64,346.77,1160.85,1050.85,333.925,1310.01,1024.53,216.662,1312,1033.68,126.042,1217.23,880.096,404.182,1266.81,872.493,22.398,1179.55,566.897,172.732,989.563,540.408,200.597,961.632,559.137,503.144,1270.08,539.581,434.345,1048.17,506.115,424.187,1002.9,508.147,243.933,1356.8,807.549,497.738,632.49,198.159,321.985,668.849,47.5209,593.385,509.164,87.6021,350.662,528.144,-35.5328,771.529,-476.344,1045.5,645.228,-500.588,1050.73,942.135,-308.538,580.184,767.597,-178.066,534.139,435.782,-457.859,576.152,522.458,-249.527,526.603,847.797,-409.977,896.69,551.18,-494.8,886.894,744.63,-346.443,1081.86,618.79,-366.19,1092.39,727.167,-564.369,798.626,718.554,-155.862,534.08,555.122,-204.119,531.239,700.621,131.069,70.5608,648.987,256.108,-21.1205,387.599,51.2689,84.9907,371.001,188.622,-17.279
7,0,211.898,1140.87,1052.63,346.864,1160.86,1050.86,333.981,1310.01,1024.52,216.701,1312.02,1033.66,126.088,1217.21,880.11,404.269,1266.78,872.468,22.4646,1179.59,566.961,172.813,989.616,540.409,200.662,961.675,559.177,503.18,1270.08,539.597,434.377,1048.23,506.103,424.223,1002.92,508.116,243.933,1356.8,807.549,497.739,632.489,198.161,321.991,668.837,47.5398,593.437,509.188,87.6148,350.662,528.144,-35.5325,771.518,-476.295,1045.51,645.213,-500.569,1050.77,942.153,-308.544,580.192,767.586,-178.068,534.129,435.777,-457.828,576.195,522.46,-249.517,526.58,847.794,-409.98,896.689,551.228,-494.678,886.794,744.66,-346.411,1081.84,618.811,-366.157,1092.38,727.17,-564.369,798.637,718.528,-155.825,534.063,555.119,-204.114,531.228,700.616,131.045,70.5997,648.989,256.111,-21.1219,387.586,51.2928,84.9862,370.979,188.583,-17.2486
8,0,211.956,1140.89,1052.66,346.959,1160.92,1050.83,334.064,1310,1024.5,216.769,1312.05,1033.69,126.135,1217.22,880.106,404.305,1266.8,872.485,22.4904,1179.57,566.968,172.852,989.624,540.434,200.696,961.661,559.202,503.178,1270.09,539.595,434.408,1048.2,506.115,424.235,1002.94,508.082,243.989,1356.79,807.514,497.796,632.508,198.114,322.008,668.852,47.5184,593.438,509.189,87.6152,350.66,528.141,-35.5423,771.518,-476.28,1045.53,645.216,-500.522,1050.74,942.144,-308.539,580.176,767.576,-178.067,534.131,435.771,-457.829,576.169,522.458,-249.527,526.603,847.781,-409.986,896.69,551.17,-494.775,886.923,744.642,-346.406,1081.82,618.806,-366.103,1092.34,727.168,-564.369,798.628,718.55,-155.836,534.054,555.102,-204.112,531.275,700.626,131.068,70.5623,648.977,256.102,-21.0938,387.585,51.2939,84.9866,370.968,188.613,-17.2803
9,0,212.055,1140.89,1052.67,347.007,1160.96,1050.8,334.072,1310.02,1024.49,216.805,1312.02,1033.65,126.159,1217.21,880.126,404.341,1266.81,872.447,22.5321,1179.54,566.927,172.915,989.604,540.445,200.744,961.616,559.149,503.207,1270.11,539.513,434.385,1048.18,506.071,424.288,1002.94,508.072,244.045,1356.79,807.55,497.847,632.536,198.138,321.997,668.833,47.5364,593.498,509.163,87.6196,350.676,528.146,-35.5107,771.518,-476.281,1045.52,645.212,-500.52,1050.75,942.13,-308.54,580.179,767.594,-178.048,534.127,435.778,-457.829,576.167,522.449,-249.536,526.622,847.795,-409.981,896.685,551.18,-494.803,886.9,744.618,-346.387,1081.8,618.795,-366.107,1092.31,727.166,-564.365,798.623,718.536,-155.839,534.055,555.139,-204.119,531.243,700.68,131.064,70.7208,648.989,256.111,-21.1197,387.591,51.2722,84.9531,370.992,188.622,-17.2889
