Trajectories
100
,,D06:Tempe_D,,,D06:Tempe_G,,,D06:AR_Tete_G,,,D06:AR_Tete_D,,,D06:epaule_D,,,D06:epaule_G,,,D06:coude_D,,,D06:poignet_D,,,D06:majeur_D,,,D06:coude_G,,,D06:poignet_G,,,D06:majeur_G,,,D06:entre_homoplate,,,D06:cheville_D,,,D06:cheville_G,,,D06:orteil_D,,,D06:orteil_G,,,D06:2AR_Tete_D,,,D06:2AR_Tete_G,,,D06:2coude_D,,,D06:2poignet_D,,,D06:2coude_G,,,D06:2poignet_G,,,D06:2epaule_D,,,D06:2epaule_G,,,D06:2Tempe_D,,,D06:2Temps_G,,,D06:2entre_homoplate,,,D06:2majeur_D,,,D06:2majeur_G,,,D06:2cheville_D,,,D06:2orteil_D,,,D06:2cheville_G,,,D06:2orteil_G,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-324.766,1267.11,1081.58,-200.908,1275.18,1112.23,-196.194,1404.79,1043.7,-323.338,1395.76,1019.56,-389.522,1309.6,881.295,-105.524,1413.75,862.688,-473.599,1232.87,567.457,-274.587,1129.29,494.782,-231.534,1121.11,508.965,-8.72158,1411.92,544.538,-79.7781,1200.41,480.856,-93.4627,1150.42,486.759,-306.962,1511.67,822.394,-252.906,880.492,66.6117,37.5776,1014.49,71.1135,-201.608,767.477,-13.0997,86.6421,897.787,-20.7434,606.356,-193.748,1036.23,494.505,-260.019,1035.37,702.036,-35.847,591.478,527.255,58.9022,513.214,295.846,-256.665,590.941,288.828,-69.2423,512.536,666.731,-114.144,896.449,408.95,-278.365,905.991,553.875,-88.0391,1113.62,442.021,-132.461,1120.87,590.971,-284.285,890.822,475.408,63.1491,513.637,313.034,-18.4161,512.215,414.496,267.945,39.0224,357.598,384.244,-33.9729,161.653,140.674,40.7344,95.0161,252.599,-28.8616
2,0,-324.618,1267.1,1081.69,-200.9,1275.13,1112.31,-196.103,1404.81,1043.71,-323.257,1395.75,1019.58,-389.521,1309.63,881.288,-105.532,1413.77,862.619,-473.634,1233.04,567.434,-274.658,1129.15,494.842,-231.571,1121.02,509.011,-8.94587,1411.96,544.398,-79.8598,1200.3,480.799,-93.3935,1150.35,486.72,-306.748,1511.32,821.97,-252.925,880.486,66.5832,37.5359,1014.41,71.1908,-201.63,767.474,-13.0689,86.646,897.791,-20.7439,606.172,-194.002,1035.66,494.459,-259.758,1035.42,701.988,-34.7922,591.768,526.607,58.7481,513.251,295.202,-256.777,591.556,289.073,-69.4034,512.58,666.478,-113.944,896.45,409.042,-278.439,906.153,553.547,-87.7083,1113.51,441.816,-132.208,1120.76,590.958,-284.128,890.78,474.588,62.3726,513.204,314.157,-19.0166,511.841,414.462,267.951,38.9928,357.617,384.252,-33.9753,161.638,140.654,40.7473,95.0355,252.546,-28.9024
3,0,-324.563,1267.15,1081.7,-200.648,1275.2,1112.2,-196.021,1404.84,1043.65,-323.178,1395.79,1019.58,-389.496,1309.68,881.284,-105.533,1413.82,862.534,-473.683,1233.23,567.398,-274.766,1129.03,494.904,-231.661,1120.96,508.969,-9.21946,1412.01,544.178,-79.8989,1200.23,480.777,-93.4122,1150.29,486.649,-306.899,1511.7,822.361,-252.978,880.501,66.5722,37.4667,1014.43,71.1066,-201.651,767.497,-13.0733,86.6461,897.791,-20.7439,606.05,-193.836,1035.73,494.484,-259.412,1035.38,701.949,-34.0041,592.082,526.061,58.7184,513.296,294.47,-256.759,592.312,289.209,-69.5761,512.516,666.194,-113.741,896.459,409.254,-278.607,906.344,553.171,-87.368,1113.32,441.557,-131.975,1120.65,591.001,-284.01,890.745,473.809,61.8008,512.794,315.013,-19.4858,511.525,414.511,267.957,39.0457,357.621,384.225,-33.9512,161.638,140.652,40.7519,95.0199,252.585,-28.9122
4,0,-324.389,1267.21,1081.73,-200.57,1275.16,1112.28,-195.968,1404.87,1043.58,-323.085,1395.8,1019.6,-389.522,1309.71,881.268,-105.512,1413.82,862.484,-473.75,1233.39,567.389,-274.88,1128.93,494.899,-231.814,1120.73,508.951,-9.16473,1411.93,544.265,-79.9467,1200.18,480.737,-93.4918,1150.18,486.546,-306.874,1511.67,822.28,-253.002,880.484,66.5495,37.4515,1014.45,71.0883,-201.651,767.493,-13.0913,86.6544,897.752,-20.7321,605.95,-193.499,1035.86,494.495,-259.183,1035.39,702.006,-33.1615,592.463,525.73,58.8783,513.277,293.563,-256.947,592.999,289.372,-69.7878,512.519,665.972,-113.571,896.47,409.447,-278.905,906.568,552.826,-86.905,1113.18,441.356,-131.77,1120.49,591.073,-283.939,890.726,473.114,61.4915,512.241,315.563,-20.1309,511.501,415.356,267.331,37.8851,357.624,384.228,-33.9405,161.644,140.648,40.7276,95.019,252.579,-28.8893
5,0,-324.341,1267.23,1081.81,-200.446,1275.2,1112.29,-195.905,1404.93,1043.53,-322.981,1395.84,1019.67,-389.517,1309.77,881.25,-105.5,1413.89,862.442,-473.852,1233.61,567.352,-275.033,1128.86,494.863,-231.913,1120.55,508.893,-9.29556,1411.86,544.166,-79.9484,1200.1,480.698,-93.9673,1150.17,486.296,-306.711,1511.36,821.952,-253.021,880.487,66.5467,37.4439,1014.46,71.0836,-201.651,767.493,-13.0917,86.6602,897.74,-20.7491,605.844,-193.081,1036.05,494.54,-259.119,1035.47,701.945,-32.1651,592.803,525.547,59.3701,513.24,292.892,-256.959,593.637,289.369,-69.9455,512.546,665.826,-113.416,896.473,409.662,-279.125,906.779,552.59,-86.6042,1113.12,441.635,-131.507,1120.12,591.159,-283.888,890.737,472.536,61.5868,511.595,316.135,-20.7715,511.565,415.45,267.311,37.8436,357.615,384.254,-33.9439,161.675,140.646,40.7248,94.9857,252.531,-28.8739
6,0,-324.202,1267.29,1081.83,-200.299,1275.22,1112.26,-195.832,1405.01,1043.55,-322.902,1395.88,1019.68,-389.499,1309.79,881.27,-105.474,1413.87,862.369,-473.93,1233.77,567.348,-275.211,1128.73,494.761,-232.038,1120.41,508.789,-9.42088,1411.81,544.107,-79.9428,1200.08,480.649,-94.1317,1150.02,486.204,-306.797,1511.66,822.244,-253.077,880.473,66.5031,37.4652,1014.45,71.0443,-201.651,767.497,-13.0744,86.6394,897.802,-20.7648,605.852,-192.626,1036.31,494.527,-259.079,1035.62,701.807,-31.6307,592.948,525.401,59.9619,513.159,292.078,-256.894,594.352,289.297,-70.0112,512.647,665.701,-113.301,896.46,409.846,-279.397,906.965,552.294,-86.3062,1113.03,441.543,-131.359,1119.99,591.227,-283.832,890.722,472.263,62.064,510.874,316.804,-21.0881,511.619,415.477,267.314,37.8785,357.633,384.241,-33.9368,161.604,140.619,40.7779,95.0316,252.54,-28.8964
7,0,-324.082,1267.31,1081.91,-200.163,1275.29,1112.26,-195.761,1405.05,1043.45,-322.787,1395.92,1019.69,-389.474,1309.87,881.253,-105.468,1413.86,862.294,-474.017,1233.94,567.342,-275.435,1128.61,494.667,-232.19,1120.32,508.672,-9.46301,1411.73,544.018,-80.005,1200.05,480.597,-94.3104,1149.83,486.061,-306.69,1511.46,821.982,-253.157,880.476,66.4974,37.5077,1014.4,71.1111,-201.69,767.495,-13.0465,86.6456,897.792,-20.7448,605.902,-192.277,1036.48,494.594,-258.956,1035.66,701.776,-30.9359,593.149,525.367,60.6841,513.041,291.451,-256.938,594.979,289.089,-69.9951,512.753,665.566,-113.146,896.447,410.052,-279.672,907.19,551.99,-85.9845,1112.94,440.838,-131.438,1120.07,591.38,-283.806,890.732,472.032,62.5308,510.454,317.369,-21.3946,511.698,415.521,267.336,37.9831,357.636,384.22,-33.9444,161.591,140.607,40.7899,95.0131,252.588,-28.8549
8,0,-323.947,1267.41,1081.93,-200.022,1275.38,1112.27,-195.675,1405.01,1043.4,-322.714,1395.91,1019.68,-389.487,1309.91,881.206,-105.432,1413.79,862.212,-474.147,1234.1,567.282,-275.681,1128.54,494.615,-232.385,1120.2,508.6,-9.53283,1411.63,543.951,-80.036,1200.08,480.506,-94.464,1149.64,485.901,-306.787,1511.76,822.248,-253.211,880.449,66.5043,37.5521,1014.43,71.1335,-201.691,767.492,-13.0434,86.67,897.8,-20.7357,605.944,-192.116,1036.52,494.732,-258.818,1035.71,701.868,-30.1812,593.422,525.372,61.495,513.013,290.725,-257.015,595.441,288.857,-69.9049,512.816,665.423,-113.023,896.373,410.281,-279.937,907.346,551.697,-85.7335,1112.83,440.303,-131.748,1119.84,591.489,-283.792,890.692,471.898,63.1745,510.142,317.74,-21.584,511.78,415.442,267.304,37.8695,357.641,384.258,-33.9362,161.608,140.607,40.7768,94.997,252.538,-28.8272
9,0,-323.87,1267.46,1081.97,-199.86,1275.46,1112.27,-195.637,1405.05,1043.36,-322.273,1395.4,1019.05,-389.483,1309.96,881.174,-105.391,1413.77,862.182,-474.272,1234.2,567.294,-275.946,1128.45,494.558,-232.539,1120.1,508.5,-9.51492,1411.55,543.917,-80.0153,1200.06,480.566,-94.6438,1149.42,485.79,-306.747,1511.7,822.207,-253.33,880.385,66.4768,37.568,1014.45,71.0719,-201.691,767.495,-13.0461,86.7044,897.799,-20.7241,606.014,-191.898,1036.5,494.962,-258.657,1035.74,701.998,-29.6237,593.619,525.467,62.3071,513.072,289.9,-256.89,596.202,288.658,-69.7269,512.884,665.294,-112.939,896.383,410.44,-280.212,907.531,551.209,-85.4562,1112.64,440.303,-131.44,1119.85,591.628,-283.8,890.739,471.501,63.9011,509.949,318.158,-21.6728,511.99,415.374,267.269,37.8736,357.642,384.213,-33.9648,161.586,140.609,40.8109,94.9956,252.528,-28.8166
