Trajectories
100
,,D02:Tempe_D,,,D02:Tempe_G,,,D02:AR_Tete_G,,,D02:AR_Tete_D,,,D02:epaule_D,,,D02:epaule_G,,,D02:coude_D,,,D02:poignet_D,,,D02:majeur_D,,,D02:coude_G,,,D02:poignet_G,,,D02:majeur_G,,,D02:entre_homoplate,,,D02:cheville_D,,,D02:cheville_G,,,D02:orteil_D,,,D02:orteil_G,,,D02:2AR_Tete_D,,,D02:2AR_Tete_G,,,D02:2coude_D,,,D02:2poignet_D,,,D02:2coude_G,,,D02:2poignet_G,,,D02:2epaule_D,,,D02:2epaule_G,,,D02:2Tempe_D,,,D02:2Temps_G,,,D02:2entre_homoplate,,,D02:2majeur_D,,,D02:2majeur_G,,,D02:2cheville_D,,,D02:2orteil_D,,,D02:2cheville_G,,,D02:2orteil_G,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,122.896,987.011,1371.83,246.936,1002.17,1392,219.011,1138.26,1387.01,95.3431,1115.01,1363.33,70.6667,1028.06,1148.79,338.822,1096.19,1160.35,-22.6879,924.513,861.945,129.925,810.492,738.254,179.296,801.936,732.583,462.23,1081.36,873.753,363.109,891.904,746.405,319.524,861.7,720.907,156.756,1198.67,1116.27,95.5278,744.316,67.1001,449.136,857.948,57.7102,127.905,634.788,-14.9434,479.758,744.933,-13.8277,594.358,-251.831,1571.96,477.575,-279.973,1558.23,894.411,-328.483,1044.14,831.149,-225.78,820.852,266.107,-346.227,1008.98,263.738,-129.523,890.699,709.463,-222.884,1370.16,378.311,-274.79,1353.2,572.699,-101.34,1577.77,436.579,-113.774,1567.53,569.385,-390.869,1321,820.597,-171.138,806.924,289.807,-86.6137,942.738,636.794,130.971,61.6563,629.886,307.138,-14.2329,267.51,58.6194,63.0464,210.469,218.898,-14.6405
2,0,123.415,986.201,1371.58,247.28,1002.23,1391.93,218.29,1137.89,1387.1,94.8249,1114.04,1363.38,70.8052,1028.16,1149.05,338.873,1096.2,1160.36,-21.4942,925.165,861.763,127.228,809.307,735.216,176.252,798.521,729.814,460.787,1082.09,873.055,365.044,891.156,745.632,323.294,859.845,720.21,156.796,1198.72,1116.35,95.6001,744.267,67.0721,449.124,858.062,57.6371,127.918,634.732,-14.9689,479.761,744.928,-13.8333,595.443,-250.959,1571.61,478.527,-280.056,1558.62,894.781,-328.447,1044.14,831.194,-225.787,820.792,265.661,-347.251,1009.56,260.924,-131.341,890.493,709.605,-222.266,1369.9,378.539,-274.656,1353.45,572.943,-100.781,1577.39,436.739,-114.198,1567.88,569.764,-390.613,1321.01,820.597,-171.143,806.941,286.875,-87.57,942.107,636.784,130.973,61.6509,629.905,307.122,-14.225,267.498,58.6105,63.048,210.442,218.881,-14.5985
3,0,123.788,985.469,1371.32,247.574,1002.18,1391.84,217.566,1137.51,1387.42,94.4809,1113.07,1363.38,70.7664,1028.4,1149.18,338.927,1096.26,1160.34,-19.5311,926.637,860.979,124.571,807.39,732.431,172.703,794.991,726.757,459.444,1082.88,872.654,367.158,891.281,744.544,327.403,857.915,719.254,157.061,1198.41,1116.14,95.6421,744.233,67.0456,449.192,857.885,57.7266,127.919,634.703,-14.9829,479.753,744.921,-13.8928,596.241,-250.675,1571.4,479.768,-280.339,1558.85,895.133,-328.295,1044.08,831.263,-225.738,820.754,264.801,-348.059,1010.1,258.075,-133.254,890.351,709.713,-221.705,1369.67,378.708,-274.52,1353.69,573.287,-100.508,1577.16,437.24,-114.495,1567.94,570.133,-390.225,1321.09,820.627,-171.158,806.921,284.083,-89.2301,941.692,636.77,130.983,61.6168,629.872,307.142,-14.2379,267.492,58.672,62.9147,210.414,218.937,-14.5384
4,0,124.147,984.724,1370.91,247.854,1001.96,1391.67,217.265,1137.49,1387.8,94.2353,1112.17,1363.5,70.7476,1028.55,1149.31,338.934,1096.41,1160.38,-17.8109,927.728,860.542,121.712,806.929,728.395,168.979,791.426,722.906,457.667,1083.44,872.04,369.307,890.612,743.333,331.641,855.809,718.491,157.222,1198.04,1115.95,95.5395,744.187,66.9907,449.186,857.931,57.6926,127.916,634.687,-14.9833,479.785,744.921,-13.8816,596.891,-250.67,1571.35,480.299,-280.394,1559.02,895.618,-327.977,1044.07,831.329,-225.727,820.758,263.616,-349.629,1011.59,255.447,-135.26,890.207,709.787,-221.184,1369.44,378.976,-274.44,1353.91,574.013,-100.383,1577.02,438.202,-114.002,1567.45,570.45,-389.897,1321.07,820.628,-171.153,806.904,280.885,-91.5885,941.242,636.772,130.983,61.62,629.908,307.111,-14.2453,267.491,58.6694,62.9124,210.41,218.908,-14.5122
5,0,124.466,984.017,1370.6,248.165,1001.64,1391.38,217.088,1137.13,1388.09,94.2279,1111.42,1363.59,70.8268,1028.62,1149.21,338.886,1096.56,1160.39,-15.8777,929.033,859.606,118.901,805.882,724.771,164.508,787.444,719.14,455.83,1083.9,871.354,370.735,890.191,742.189,336.123,855.23,716.647,157.268,1197.94,1115.91,95.4364,744.136,66.9784,449.202,857.914,57.6842,127.916,634.687,-14.9831,479.771,744.938,-13.8868,597.321,-250.531,1571.29,480.615,-280.314,1559.03,895.954,-327.452,1044.07,831.37,-225.656,820.708,262.671,-350.524,1012.72,252.84,-137.201,890.334,709.693,-220.594,1369.17,379.303,-274.409,1354.23,574.771,-100.558,1576.84,438.302,-114.276,1568.03,570.842,-389.569,1321.13,820.626,-171.097,806.857,278.525,-92.9631,940.756,636.747,131.01,61.6128,629.895,307.132,-14.2534,267.499,58.6124,63.043,210.408,218.906,-14.5141
6,0,124.808,983.415,1370.32,248.457,1001.25,1391.06,217.12,1136.6,1388.35,94.2309,1110.85,1363.83,70.9275,1028.68,1149.05,338.902,1096.7,1160.38,-13.8064,930.209,858.712,116.117,804.956,721.65,160.17,784.009,715.604,454.254,1084.19,870.837,372.977,890.703,739.734,340.331,853.403,716.048,157.219,1197.95,1115.86,95.3963,744.171,67.0376,449.222,857.952,57.6577,127.942,634.693,-14.9823,479.775,744.954,-13.822,597.772,-250.686,1571.37,480.866,-280.198,1559.08,896.18,-327.053,1044.14,831.433,-225.551,820.736,261.155,-352.078,1014.43,250.376,-139.415,890.316,709.652,-220.119,1368.9,379.75,-274.344,1354.67,575.444,-100.718,1576.76,438.534,-114.219,1568.11,571.136,-389.127,1321.15,820.619,-171.015,806.724,275.715,-94.4999,940.684,636.739,131.004,61.5778,629.875,307.127,-14.2739,267.495,58.606,63.0541,210.414,218.911,-14.5139
7,0,125.079,982.933,1370.04,248.754,1000.82,1390.66,217.196,1136.04,1388.57,94.2537,1110.32,1364.21,71.0284,1028.52,1148.92,338.903,1096.81,1160.3,-12.1946,931.193,857.597,113.783,804.398,718.964,156.657,781.376,711.958,452.456,1084.71,870.141,374.743,891.272,737.241,344.351,851.455,715.875,157.081,1198.09,1115.91,95.8694,744.287,67.0406,449.209,857.973,57.6459,127.943,634.711,-14.9646,479.806,744.919,-13.7513,597.994,-250.89,1571.48,480.973,-279.6,1559.06,896.42,-326.718,1044.21,831.52,-225.439,820.722,259.728,-353.352,1016.23,248.171,-141.637,890.499,709.61,-219.696,1368.63,380.134,-274.378,1355.21,576.001,-100.816,1576.84,439.078,-113.904,1568.05,571.348,-388.664,1321.07,820.529,-170.889,806.64,274.048,-96.5708,939.941,636.712,130.993,61.5814,629.903,307.134,-14.2923,267.469,58.5955,63.0914,210.393,218.911,-14.5124
8,0,125.35,982.444,1369.71,249.092,1000.38,1390.08,217.449,1135.5,1388.79,94.4294,1109.8,1364.65,70.9897,1028.46,1148.67,338.911,1096.92,1160.13,-10.953,932.197,856.582,111.594,803.925,716.874,153.152,779.098,709.051,450.55,1084.97,869.56,376.81,890.466,736.271,348.576,850.14,715.514,156.941,1198.17,1115.92,95.9845,744.346,66.9338,449.21,857.967,57.6896,127.92,634.806,-14.9739,479.762,745.005,-13.8271,598.033,-251.151,1571.57,480.809,-279.049,1559.09,896.703,-326.25,1044.28,831.623,-225.31,820.746,258.333,-354.669,1018.07,245.996,-144.098,890.677,709.601,-219.393,1368.47,380.507,-274.422,1355.97,576.753,-100.897,1577,440.37,-112.928,1567.56,571.593,-388.218,1320.98,820.463,-170.778,806.527,272.293,-98.4598,939.454,636.761,131.056,61.6018,629.896,307.129,-14.2717,267.496,58.6087,63.0527,210.413,218.911,-14.5136
9,0,125.696,982.035,1369.25,249.299,999.87,1389.35,217.731,1134.88,1388.93,94.8881,1109.41,1365.06,70.9285,1028.23,1148.28,338.964,1096.93,1159.88,-9.87582,933.317,855.559,109.8,803.778,714.557,149.942,777.107,706.521,449.116,1085.37,869.034,378.547,890.756,734.483,352.545,848.886,715.413,156.818,1198.32,1115.98,95.9606,744.393,66.9401,449.165,858.019,57.6483,127.94,634.807,-14.9401,479.742,744.578,-13.474,597.881,-251.745,1571.9,480.57,-278.826,1559.18,897.028,-325.56,1044.39,831.66,-225.176,820.735,256.743,-356.196,1019.98,243.791,-146.709,890.817,709.625,-219.127,1368.36,381.031,-274.205,1356.61,577.598,-101.203,1577.28,441.018,-112.809,1567.98,571.874,-388,1321.02,820.422,-170.73,806.453,270.565,-100.484,939.007,636.774,131.018,61.6099,629.91,307.128,-14.2088,267.496,58.6216,63.0796,210.428,218.963,-14.5664
